,course_id,translated_title,category,instructional_level,translated_headline,translated_objectives_summary
60589,3989648,Database Management System A-Z™: Beginner to Expert (2021),software,All Levels,Learn Basics of SQL to efficiently create and manage databases,"['You will be able to create and manage databases using MySQL.', 'Perform various actions on databases.']"
60593,3304928,Web scraping - zero to pro! (scrape & display on a website),software,All Levels,Python & Beautiful Soup (back end) with Flask & Bootstrap. Re-create the 8 million covid site and more mini projects!,"['How to webscrape using Python, Beautiful Soup, lxml (backend) and Flask and Bootstrap/HTML (front end)', 'How to re-create the covid-tracker Avi Shiffman created (and was offered $8 million for!)', 'Scraping additional sites and displaying this data on a beautiful website']"
60600,2923622,Apache Hive Basic to advance all in one 2022,software,All Levels,Become Expert in Big data Hive for projects and Interview,"['Good Hands on Apache Hive with all latest functionality covered', 'Working, Querying , Analyzing on big data stored in distributed environment', 'Crack interview on Big data , where Hive is asked']"
60606,2107526,Tableau for Beginners - A Course to Accelerate Your Career,software,All Levels,Jump into data visualization with hands-on exercises and Interview preparation [be job ready],"['Master the latest Tableau software for use in a professional business environment', 'Understand how Tableau Desktop fits within the Tableau family of products', 'Connect to a variety of sources including flat files, databases and web services such as Google Analytics']"
60608,371442,Learn the Basics of BLACK Hat Hacking secrets in Ethical Way,software,All Levels,Protect Your confidential data by Black hat hacking techniques and learn the methods of Facebook hacking.,"['Impress your friends', 'Get the clear idea for performing hacking', 'Learn the methods of hiding secret data']"
60613,900244,Easy Road Map to Big Data Testing (Hive and MySQL Databases),software,All Levels,Hive and MySQL for Testing Profile,"['At the end of this course, students would be able to work on different Hive queries and get the detailed information about Hive as a Big Data database.']"
60614,1449582,Oracle 12C database Administration - Oracle dba,software,All Levels,Oracle 12C Administration | Oracle database Administration for Oracle DBA,"['Oracle 12C Multi-tenant architecture', 'Oracle DBA', 'Oracle 12c database management']"
60622,2404114,Structured Query Language (SQL) for Data Science,software,Beginner Level,Structured Query Language (SQL),"['Learn Structured Query Language (SQL) for Data Science applications', 'Learn MySQL – the most popular Database Management System', 'Understand the basics of databases, primary key, Foreign Key and Indexing']"
60629,1304026,Oracle XML DB with Real-World  Examples,software,Intermediate Level,Interfacing Your XML Application to the Oracle RDBMS,"['The student will learn XML database design, exporting relational data to well-formed XML docucments, importing XML documents to their relational counterpart and the Oracle XML DB repository.']"
60631,3827092,Data Science in Action using Python,software,All Levels,Gain hands-on experience in building a Data Driven AI engagement using Python,"['Students will learn proven modified CRISP-DM methodology to deal with big data challenges as we move from BI world to AI world', 'Students will use real case study  and will gain hands-on experience in Designing / prototyping a Data science  engagement on the chosen case study.', 'We divide the data scientists into clickers and coders.  Clickers Examples include SPSS Modeler, Excel and Alteryx.  This course is for coders not Clickers.']"
60645,2349520,Machine learning - OpenCV based IOT using Raspberry pi,software,All Levels,Learn about Supervised Learning (computer vision) with Internet of things. A unique course with growing industry demand.,"['Supervised learning using OPEN CV', 'Internet of things using Raspberry Pi', 'Configuring and acquiring data from sensor(s) by interfacing with Raspberry Pi']"
60647,2187758,Excel 365 - Beginner,software,Beginner Level,First step to learning Excel for Office 365,"['Begin to create and manipulate worksheets.', 'Learn how to create, save, enter data, and print spreadsheets.', 'Learn how to create formulas and use functions to calculate in Excel.']"
60659,4461680,Complete FastAPI REST course + AWS + Emails + Payments,software,Beginner Level,"Learn FastAPI by building a complete project. Extend your knowledge on advanced web development-AWS, Payments, Emails","['Learn HTTP basics', 'Gain complete understanding of FastAPI and async-await concepts', 'Work with relational database PostgreSQL']"
60665,3580517,Easy Learn SAP MM/ Procurement Cycle with Master data's Exp,software,Beginner Level,Studyuuu SAP MM,['People can learn SAP MM course in a Structured way']
60668,3007614,Complete ArcGIS Course : Beginner To Expert,software,All Levels,studying GIS professionally and academically from scratch to advanced in one course,"['ArcGIS : ArcMap - ArcCatalog - ArcToolbox', 'Georeferencing', 'Geodatabase']"
60689,4436930,IIBA ECBA - Entry Certificate in Business Analyst Mock Exams,software,Beginner Level,3 IIBA ECBA Mock Exams with 150 Questions and 1 PMI-PMP Mock Exams,"['These Mock Exams is intended to assess whether the candidate has mastered the most basic skills of a BA based on the approach of the BABOK book.', 'These Mock Exams bring more close to the exam and provide you with a decent experience before attending the exam.', 'These Mock Exams covers foundational knowledge on how to approach business analysis according to the BABOK® Guide.']"
60706,3969532,SAP SuccessFactors Employee Central Module,software,All Levels,Learn SAP SuccessFactors Employee Central Module,"['This course will help you with navigation and understanding of SAP SuccessFactors Employee Central terminologies This course is ideal for those who wish to become the SAP SuccessFactors Employee Central consultant or already using SAP SuccessFactors Employee Central as an administrator. This training is not meant to be a replacement for SAP Success Factors training conducted by SAP.', 'How to create and maintain Foundation Objects?', 'What data models are used in employee central & how to change these data models?']"
60707,2984318,DP-201: Designing an Azure Data Solution Practice Test,software,All Levels,150+ Latest Practice Test for Exam Preparations with Detail Explanation and Reference link,"['How to Design Azure data storage solutions', 'How To Configure Azure Data Bricks( A Service To Perform Big Data Analysis Using Azure Cloud)', 'Learn how to pass the DP-201: Designing an Azure Data Solution Certification exam in the first attempt']"
60708,3747194,Creating a Google COVID-19 Mobility Dashboard in Tableau,software,Beginner Level,A professional looking dashboard from data to visualisation,"['How to create a Professional Dashboards in Tableau', 'Design, Formatting and Layouts']"
60722,2473290,Cryptography Basics From Scratch in Python,software,Beginner Level,"Learn cryptography basics including encryption, decryption and cryptoanalysis from scratch in Python","['Cryptography basics and fundamentals', 'Encryption / decryption', 'Cryptoanalysis']"
60731,2136808,CompTIA Pentest+ Certification (PT0-001),software,Expert Level,Learn CompTIA Pentest+ Complete Course and ace the PT0-001 Examination,"['Plan and scope a penetration testing project', 'Understand the penetration testing methodology to conduct information gathering and vulnerability analysis', 'Understand how to exploit systems during a pentesting project']"
